名称,网址,标签,简介,收费情况,备注,相关技巧
FreeVector,https://www.freevector.com,"图片处理, 在线, 素材, 资源",超精美的免费矢量素材库。详情见内容,免费免登陆,,
网易数读,https://data.163.com/special/datablog/,"PPT, 写作, 数据",,免费免登陆,,
石墨文档,https://shimo.im/docs/RPGcxw6VpCgxHYhP/read,,,,,
音乐解析(泛称),http://music.onlychen.cn/,"下载, 本地, 资源, 音乐","在听音乐的时候，时常会遇到某些音乐播放平台因为版权问题某些音乐需要收费来下载或者收听的情况,这种时候就需要使用到这一类音乐解析工具。
音乐解析网站可以解析出音乐的播放源来达到让用户免费收听的目的。",免费免登陆,"注：*付费类歌曲不可以下载。
*若网站404，则可以百度搜索音乐解析，可轻易找到其他替代网站。",link：上传到网易云音乐云盘即可随时随地收听付费歌曲
电影天堂,https://www.dy2018.com/,"下载, 本地, 电影, 视频, 资源, 迅雷",院线电影、电视剧下载&高清首发,免费免登陆,注：*近期的电影可能会没有高清资源。需要搭配迅雷使用。,
Canva可画,https://www.canva.cn/,"图片处理, 在线, 教程, 设计",Canva是一款在线平面设计工具，提供了海量的免费设计模板，涵盖海报、简历、宣传单页、名片、邀请函、贺卡、Logo、PPT模板、二维码、Banner等数十种设计场景，更有上百款免费字体及百万张正版图片素材可供使用。点击跳转Canva设计学院学习教程：https://www.canva.cn/learn/canva-101/,"免费需登录, 部分浏览需收费","注：*某些素材使用、保存时需要付费。
*网站有国际版，有国内版没有的设计模板，但是打开比较慢。",
Pexels,https://www.pexels.com/zh-cn/,"壁纸, 素材, 视频, 设计","才华横溢的摄影作者在这里免费分享最精彩的素材图片和视频,外国网站。",免费免登陆,"注：*网站现在支持中文搜索。
*网站用英文搜索结果和中文搜索结果存在差异。",
pixabay,https://pixabay.com/,"壁纸, 素材, 设计",超过180万张摄影照片和视频供你选择。,免费免登陆,,
优优教程网,https://uiiiuiii.com/,"教程, 素材, 设计","为零基础、进阶提升和设计自学者提供平面、UI、网页等设计软件教程,由优设网旗下的优设大课堂和基础训练营组成，有PS教程、AE教程、AI教程、C4D教程、手绘教程、摄影教程；找灵感方面有海报设计、UI设计、Banner设计、Logo设计、插画绘画等。",部分浏览需收费,注：*系统学习还是需要报名付费课程。,
优设网,https://www.uisdc.com/,"图片处理, 教程, 素材, 视频处理, 设计",设计师交流学习平台，看设计文章，学设计软件教程。,部分浏览需收费,,
站酷,https://www.zcool.com.cn/,"下载, 图片处理, 在线, 字体, 素材, 设计",主站为设计师互动平台站酷网，下属一站式正版视觉内容交易平台——https://www.hellorf.com/，艺术设计在线教育平台——https://www.gogoup.com/、知识产权服务平台——https://www.zcoolip.com/，免费&付费字体https://www.zcool.com.cn/special/zcoolfonts/。,付费需登录,,
ExtractPDF,www.extractpdf.com,"PDF, 在线, 字体, 文档处理",可以免费提取PDF文件中的图片、文字及字体，无需安装，在线操作。,免费免登陆,"注：*最大上传文件为25MB。
*图像以其原始版本和大小提取。不应用图像过滤器及其在PDF中指定的尺寸更改。
*图片类文本无法提取。",
UI中国,https://www.ui.cn/,"图片处理, 教程, 设计",专业的用户体验设计行业媒体、知识分享互动社区、创意整合营销平台。包含学习、展示、外包、竞赛、招聘等，是用户体验设计师的职业成长平台。,"浏览观看免费, 部分浏览需收费",,
Iconfont,https://www.iconfont.cn/,"下载, 图片处理, 在线, 素材","阿里妈妈MUX倾力打造的矢量图标管理、交流平台。
设计师将图标上传到Iconfont平台，用户可以自定义下载多种格式的icon，平台也可将图标转换为字体，便于前端工程师自由调整与调用。",免费需登录,,https://www.notion.so/48efb4505cde4759beb12116339d13e3?pvs=21
堆糖,https://www.duitang.com/,"壁纸, 素材",在堆糖可以收集网络上你喜欢的图片和商品，保存你的设计灵感、计划你的旅行、准备你的换季购物清单等,免费需登录,,
心理成长,https://types.yuzeli.com/,测试,较为科学的心理测试网站。,免费免登陆,,
foter,https://foter.com/,"下载, 壁纸, 素材",来自世界各地的摄影作者在这里免费分享最精彩的素材图片和视频，完全免费不登陆下载。外国网站。,免费免登陆,注：*像素低于Pexels，不推荐。,
求字体网,http://www.qiuziti.com/,"下载, 字体, 资源",求字体网是为网友提供的信息共享空间，是供网友在线分享字体素材的开放平台。,"免费免登陆, 部分浏览需收费",,
秘塔写作猫,https://xiezuocat.com/#/,"写作, 在线, 文档处理, 校对",中文写作校对工具，可以校对字词错误、标点错误、语序错误、语法问题、同意混淆等，并给出修改建议，支持全文分析和智能排版。免费版基本上能满足日常需求。,部分浏览需收费,,
第一ppt,http://www.1ppt.com/,"PPT, 文档处理, 素材",PPT背景图片，PPT模板免费下载。,免费免登陆,注：*对内容设计要求不那么高可以选择下载。,
漫音社,http://www.acgjc.com/,"下载, 资源, 音乐",动漫相关的无损音乐下载。有一部分欧美歌曲可以下载到。,免费免登陆,,
在线抠图,https://douc.cc/23v0Am,"图片处理, 在线",秒开，非常流畅，界面简洁，可以自己设置抠图的细致程度,免费免登陆,,
虚假截图助手,https://douc.cc/2PYp9X,图片处理,不要再被伪造的截图收智商税。,免费免登陆,,
socialbook抠图,https://socialbook.io/remove-background,图片处理,"最佳免费背景去除剂在线工具，去除背景-SocialBook
世界上最强大最精准的AI 人物背景可移除算法-100％自动，秒出结果",免费免登陆,,
爱范儿,https://www.ifanr.com/author/delmar,文章,国内聚焦创新及消费科技领域的线上媒体,浏览观看免费,,
generated photos,https://generated.photos/,"AI, 人像, 素材",这些人像都是算法生成的，不是真人，更不可能有侵权的风险，而且全部免费可商用！条件很简单，你只需要在作品中放上他们的官网链接即可。当然，你也可以直接下载所有人脸，但资源存在了一个（不存在的）网盘中：Google Drive：http://t.cn/AiEsraQu,免费免登陆,,
爱豆搜索,https://www.sov5.cn/engines/imoMqPbMiS,豆瓣,豆瓣任意用户所有发言记录、转发、收藏和赞可查询。,每日有使用限制,"注：*所查询的用户的曾用名也可以链接搜索该用户新名称的发言记录；
可能会限制搜索额度。",
小蜜蜂在线电子书转换器,http://cn.epubee.com/,"格式转换, 电子书",免费电子书格式转换，转换的格式支持各种阅读软件与设备.质量无损，转换速度快，简单易用。,"免费免登陆, 每日有使用限制","注：* 下载http://cn.epubee.com/manager.html，除了电子书转换、管理，还能给DRM脱壳。
* 支持单个文件大小高达100MB
* 支持批量上传和处理
* 支持PDF重排，即PDF转为PDF A6
* 支持PDF A6输出，便于移动设备如Kindle，Kobo，掌阅，手机等
* 页面上没有烦人的广告，清晰安全",